doc_id,doc_date,vendor,city,payment_terms_days,item,category,qty,unit_price,subtotal,gst_rate,gst_amount,total
DOC-00007,2025-02-11,Prime Traders,Lahore,0,HDP5000e Ribbon,Ribbon,2,22871.23,45742.47,0.18,8233.64,53976.11
DOC-00008,2025-12-01,Alpha Supplies,Lahore,30,Printer Service Visit,Service,5,8150.14,40750.71,0.18,7335.13,48085.84
DOC-00009,2025-10-14,PakTech,Islamabad,15,ID Card PVC Pack,Accessories,1,5091.02,5091.02,0.18,916.38,6007.4
DOC-00010,2025-09-12,PakTech,Islamabad,0,Printer Service Visit,Service,50,8350.38,417519,0.18,20974.36,438493.36
DOC-00010,2025-09-12,PakTech,Islamabad,0,HDP5000e Ribbon,Ribbon,2,24406.08,48812.16,0.18,8786.19,57598.35
DOC-00010,2025-09-12,PakTech,Islamabad,0,ID Card PVC Pack,Accessories,10,4926.42,49264.21,0,0,49264.21
DOC-00010,2025-09-12,PakTech,Islamabad,0,ID Card PVC Pack,Accessories,3,5211.77,15635.3,0.18,2814.35,18449.65
DOC-00011,2025-12-18,PakTech,Karachi,45,Printer Cleaning Kit,Accessories,20,3684.76,73695.25,0.18,13265.14,86960.39
DOC-00011,2025-12-18,PakTech,Karachi,45,UHF Long Range Tag,Accessories,2,200.13,400.26,0.18,72.05,472.3
DOC-00011,2025-12-18,PakTech,Karachi,45,HDP5000e Ribbon,Ribbon,5,23439.02,117195.1,0.18,21095.12,138290.21
DOC-00011,2025-12-18,PakTech,Karachi,45,UHF Long Range Tag,Accessories,10,202.33,2023.28,0.18,364.19,2387.47
DOC-00012,2025-01-08,Vision Systems,Lahore,30,ID Card PVC Pack,Accessories,3,8856.23,26568.69,0.18,4782.36,31351.05
DOC-00012,2025-01-08,Vision Systems,Lahore,30,Printer Service Visit,Service,10,8525.61,85256.08,0,0,85256.08
DOC-00012,2025-01-08,Vision Systems,Lahore,30,HDP5000e Ribbon,Ribbon,2,26077.36,52154.71,0,0,52154.71
DOC-00013,2025-06-30,Vision Systems,Karachi,0,UHF Long Range Tag,Accessories,2,206.11,412.21,0.18,74.2,486.41
DOC-00013,2025-06-30,Vision Systems,Karachi,0,ID Card PVC Pack,Accessories,3,5400.99,16202.97,0,0,16202.97
DOC-00013,2025-06-30,Vision Systems,Karachi,0,HDP5000e Ribbon,Ribbon,50,24664.91,1233245.5,0.18,221984.19,1455229.69
DOC-00014,2025-01-24,MF TRADER,Karachi,15,ID Card PVC Pack,Accessories,5,4608.99,23044.95,0.18,4148.09,27193.05
DOC-00014,2025-01-24,MF TRADER,Karachi,15,PolyGuard Lamination,Accessories,20,11121.97,222439.48,0.18,40039.11,262478.59
DOC-00014,2025-01-24,MF TRADER,Karachi,15,Printer Cleaning Kit,Accessories,20,3310.96,66219.12,0.18,11919.44,78138.56
DOC-00015,2025-06-10,MF TRADER,Islamabad,30,Printer Cleaning Kit,Accessories,5,3157.95,15789.75,0.18,2842.16,18631.91
DOC-00016,2025-02-13,Alpha Supplies,Karachi,30,UHF Long Range Tag,Accessories,50,205.9,10294.82,0.18,1853.07,12147.89
DOC-00016,2025-02-13,Alpha Supplies,Karachi,30,UHF Long Range Tag,Accessories,50,194.21,9710.46,0.18,1747.88,11458.35
DOC-00016,2025-02-13,Alpha Supplies,Karachi,30,Printer Cleaning Kit,Accessories,5,3413.75,17068.77,0.18,3072.38,20141.15
DOC-00017,2025-05-16,Prime Traders,Karachi,0,Printer Service Visit,Service,3,7803.16,23409.48,0.18,4213.71,27623.18
DOC-00017,2025-05-16,Prime Traders,Karachi,0,PolyGuard Lamination,Accessories,50,11917.37,595868.71,0,0,595868.71
DOC-00017,2025-05-16,Prime Traders,Karachi,0,Printer Cleaning Kit,Accessories,5,3298.5,16492.5,0.18,2968.65,19461.15
DOC-00017,2025-05-16,Prime Traders,Karachi,0,HDP5000e Ribbon,Ribbon,20,23632.89,472657.8,0.18,85078.4,557736.21
DOC-00018,2025-02-12,PakTech,Lahore,15,UHF Long Range Tag,Accessories,3,212.84,638.51,0,0,638.51
DOC-00019,2025-08-30,Vision Systems,Islamabad,15,HDP5000e Ribbon,Ribbon,50,24395.82,1219791.04,0,0,1219791.04
DOC-00019,2025-08-30,Vision Systems,Islamabad,15,HDP5000e Ribbon,Ribbon,20,25302.99,506059.82,0,0,506059.82
DOC-00020,2025-05-15,PakTech,Islamabad,45,Printer Cleaning Kit,Accessories,2,3674.58,7349.15,0.18,1322.85,8672
DOC-00021,2025-04-24,PakTech,Lahore,15,PolyGuard Lamination,Accessories,1,12881.89,12881.89,0,0,12881.89
DOC-00022,2025-01-07,Vision Systems,Islamabad,0,Printer Service Visit,Service,50,8169.93,408496.7,0,0,408496.7
DOC-00022,2025-01-07,Vision Systems,Islamabad,0,UHF Long Range Tag,Accessories,50,217.83,10891.5,0.18,1960.47,12851.97
DOC-00023,2025-10-21,Prime Traders,Karachi,15,Printer Service Visit,Service,50,7726.12,386306.17,0.18,69535.11,455841.28
DOC-00024,2025-02-18,PakTech,Lahore,30,PolyGuard Lamination,Accessories,5,12101.94,60509.72,0,0,60509.72
DOC-00024,2025-02-18,PakTech,Lahore,30,Printer Cleaning Kit,Accessories,10,3624.1,36240.96,0,0,36240.96
DOC-00025,2025-07-22,Vision Systems,Karachi,30,HDP5000e Ribbon,Ribbon,50,26872.41,1343620.39,0.18,241851.67,1585472.06
DOC-00025,2025-07-22,Vision Systems,Karachi,30,UHF Long Range Tag,Accessories,20,202.69,4053.85,0.18,729.69,4783.54
DOC-00026,2025-11-06,MF TRADER,Lahore,0,UHF Long Range Tag,Accessories,2,177.76,355.52,0.18,63.99,419.51
DOC-00026,2025-11-06,MF TRADER,Lahore,0,UHF Long Range Tag,Accessories,20,186.98,3739.64,0.18,673.14,4412.78
DOC-00027,2025-08-10,Prime Traders,Lahore,0,PolyGuard Lamination,Accessories,50,11242.43,562121.32,0,0,562121.32
DOC-00027,2025-08-10,Prime Traders,Lahore,0,Printer Cleaning Kit,Accessories,2,3317.14,6634.28,0.18,1194.17,7828.45
DOC-00027,2025-08-10,Prime Traders,Lahore,0,PolyGuard Lamination,Accessories,1,11346.67,11346.67,0.18,2042.4,13389.07
DOC-00028,2025-05-11,MF TRADER,Karachi,45,Printer Cleaning Kit,Accessories,50,6394.88,319744,0,0,319744
DOC-00028,2025-05-11,MF TRADER,Karachi,45,HDP5000e Ribbon,Ribbon,2,22708.47,45416.93,0,0,45416.93
DOC-00029,2025-04-14,PakTech,Karachi,30,Printer Cleaning Kit,Accessories,2,3544.94,7089.88,0.18,1276.18,9855.34
DOC-00030,2025-07-08,Vision Systems,Islamabad,15,Printer Cleaning Kit,Accessories,50,3710.01,185500.47,0.18,33390.08,218890.55
DOC-00030,2025-07-08,Vision Systems,Islamabad,15,Printer Service Visit,Service,5,8455.25,42276.25,0,0,42276.25
DOC-00030,2025-07-08,Vision Systems,Islamabad,15,HDP5000e Ribbon,Ribbon,10,25734.48,257344.8,0,0,257344.8
DOC-00030,2025-07-08,Vision Systems,Islamabad,15,Printer Service Visit,Service,1,8546.44,8546.44,0,0,8546.44
DOC-00031,2025-05-17,MF TRADER,Islamabad,0,ID Card PVC Pack,Accessories,50,4501.4,225069.82,0.18,40512.57,265582.39
DOC-00032,2025-10-20,Prime Traders,Karachi,45,UHF Long Range Tag,Accessories,10,196.31,1963.09,0.18,353.36,2316.44
DOC-00032,2025-10-20,Prime Traders,Karachi,45,UHF Long Range Tag,Accessories,20,194.52,3890.37,0.18,700.27,4590.63
DOC-00033,2025-02-19,Prime Traders,Islamabad,45,UHF Long Range Tag,Accessories,3,197.04,591.11,0.18,106.4,697.51
DOC-00033,2025-02-19,Prime Traders,Islamabad,45,HDP5000e Ribbon,Ribbon,1,22280.46,22280.46,0.18,4010.48,26290.94
DOC-00034,2025-08-09,Alpha Supplies,Lahore,15,ID Card PVC Pack,Accessories,20,4990.8,99816.03,0.18,17966.88,117782.91
DOC-00034,2025-08-09,Alpha Supplies,Lahore,15,Printer Cleaning Kit,Accessories,2,3636.5,7273.01,0.18,1309.14,8582.15
DOC-00034,2025-08-09,Alpha Supplies,Lahore,15,Printer Cleaning Kit,Accessories,20,3623.63,72472.56,0.18,13045.06,85517.63
DOC-00035,2025-06-25,Prime Traders,Islamabad,15,Printer Cleaning Kit,Accessories,20,3399.48,67989.66,0.18,12238.14,80227.8
DOC-00035,2025-06-25,Prime Traders,Islamabad,15,HDP5000e Ribbon,Ribbon,3,24218.25,72654.75,0,0,72654.75
DOC-00035,2025-06-25,Prime Traders,Islamabad,15,Printer Service Visit,Service,100,7795.16,779516,0.18,140312.88,919828.88
DOC-00036,2025-08-21,MF TRADER,Lahore,30,HDP5000e Ribbon,Ribbon,5,22754.2,113771.02,0.18,20478.78,134249.8
DOC-00036,2025-08-21,MF TRADER,Lahore,30,PolyGuard Lamination,Accessories,2,11916.84,23833.68,0.18,4290.06,28123.74
DOC-00036,2025-08-21,MF TRADER,Lahore,30,UHF Long Range Tag,Accessories,50,184.22,9211.09,0.18,1658,10869.09
DOC-00037,2025-10-18,Vision Systems,Lahore,0,Printer Service Visit,Service,10,8314.05,83140.51,0.18,14965.29,98105.81
DOC-00038,2025-01-03,PakTech,Lahore,15,Printer Service Visit,Service,20,8342.31,166846.27,0.18,30032.33,196878.6
DOC-00038,2025-01-03,PakTech,Lahore,15,UHF Long Range Tag,Accessories,2,202.35,404.69,0,0,404.69
DOC-00038,2025-01-03,PakTech,Lahore,15,Printer Service Visit,Service,20,8604.85,172097.09,0.18,30977.48,203074.57
DOC-00039,2025-02-12,Vision Systems,Lahore,45,Printer Cleaning Kit,Accessories,10,3828.92,38289.21,0.18,6892.06,45181.27
DOC-00039,2025-02-12,Vision Systems,Lahore,45,UHF Long Range Tag,Accessories,20,213.72,4274.39,0.18,769.39,5043.78
DOC-00039,2025-02-12,Vision Systems,Lahore,45,Printer Service Visit,Service,3,8441.2,25323.59,0,0,25323.59
DOC-00039,2025-02-12,Vision Systems,Lahore,45,HDP5000e Ribbon,Ribbon,50,24632.13,1231606.26,0.18,221689.13,1453295.39
DOC-00040,2025-02-16,Vision Systems,Karachi,30,PolyGuard Lamination,Accessories,3,13042.22,39126.65,0.18,7042.8,46169.45
DOC-00040,2025-02-16,Vision Systems,Karachi,30,UHF Long Range Tag,Accessories,10,217.45,2174.49,0.18,391.41,2565.9
DOC-00040,2025-02-16,Vision Systems,Karachi,30,PolyGuard Lamination,Accessories,3,13608.23,40824.7,0.18,7348.45,48173.14
DOC-00040,2025-02-16,Vision Systems,Karachi,30,HDP5000e Ribbon,Ribbon,1,26664.37,26664.37,0.18,4799.59,31463.95
DOC-00041,2025-02-14,PakTech,Karachi,0,UHF Long Range Tag,Accessories,20,198.26,3965.3,0.18,713.75,4679.05
DOC-00041,2025-02-14,PakTech,Karachi,0,Printer Cleaning Kit,Accessories,5,3652.55,18262.73,0.18,3287.29,21550.03
DOC-00042,2025-09-27,Vision Systems,Lahore,0,PolyGuard Lamination,Accessories,1,12539.97,12539.97,0.18,2257.19,14797.16
DOC-00042,2025-09-27,Vision Systems,Lahore,0,PolyGuard Lamination,Accessories,1,12772.75,12772.75,0,0,12772.75
DOC-00043,2025-02-08,Vision Systems,Islamabad,45,Printer Cleaning Kit,Accessories,2,3690.01,7380.02,0.18,1328.4,8708.42
DOC-00044,2025-10-23,MF TRADER,Karachi,45,Printer Service Visit,Service,50,7573.2,378660.02,0,0,378660.02
DOC-00044,2025-10-23,MF TRADER,Karachi,45,HDP5000e Ribbon,Ribbon,20,21913.21,438264.26,0,0,438264.26
DOC-00045,2025-08-10,Alpha Supplies,Islamabad,0,UHF Long Range Tag,Accessories,20,198.29,3965.81,0.18,713.85,4679.66
DOC-00046,2025-11-05,Vision Systems,Islamabad,45,HDP5000e Ribbon,Ribbon,5,26473.06,132365.28,0.18,23825.75,156191.03
DOC-00046,2025-11-05,Vision Systems,Islamabad,45,Printer Cleaning Kit,Accessories,1,3643.84,3643.84,0.18,655.89,4299.74
DOC-00047,2025-11-07,MF TRADER,Karachi,0,HDP5000e Ribbon,Ribbon,10,23977.01,239770.07,0.18,43158.61,282928.68
DOC-00047,2025-11-07,MF TRADER,Karachi,0,Printer Service Visit,Service,1,7362.76,7362.76,0,0,7362.76
DOC-00048,2025-03-21,Prime Traders,Lahore,30,Printer Cleaning Kit,Accessories,3,6648.38,19945.14,0.18,3590.13,23535.27
DOC-00048,2025-03-21,Prime Traders,Lahore,30,HDP5000e Ribbon,Ribbon,10,23821.92,238219.19,0.18,42879.46,281098.65
DOC-00049,2025-06-17,Prime Traders,Lahore,15,Printer Cleaning Kit,Accessories,50,3394.73,169736.37,0.18,30552.55,200288.91
DOC-00050,2025-07-16,Vision Systems,Karachi,30,PolyGuard Lamination,Accessories,2,12669.96,25339.92,0.18,4561.18,29901.1
DOC-00050,2025-07-16,Vision Systems,Karachi,30,HDP5000e Ribbon,Ribbon,50,27025.15,1351257.58,0,0,1351257.58
DOC-00051,2025-06-23,Prime Traders,Karachi,0,Printer Service Visit,Service,3,7918.34,23755.01,0.18,4275.9,28030.92
DOC-00051,2025-06-23,Prime Traders,Karachi,0,PolyGuard Lamination,Accessories,3,11465.99,34397.97,0,0,34397.97
DOC-00052,2025-12-13,PakTech,Lahore,15,HDP5000e Ribbon,Ribbon,3,26156.65,78469.95,0,0,78469.95
DOC-00052,2025-12-13,PakTech,Lahore,15,ID Card PVC Pack,Accessories,1,5203.72,5203.72,0.18,936.67,6140.39
DOC-00052,2025-12-13,PakTech,Lahore,15,Printer Service Visit,Service,5,8285.81,41429.06,0.18,7457.23,48886.29
DOC-00052,2025-12-13,PakTech,Lahore,15,Printer Service Visit,Service,2,8502.98,17005.97,0.18,3061.07,20067.04
DOC-00053,2025-10-15,PakTech,Lahore,30,PolyGuard Lamination,Accessories,5,12891.44,64457.18,0.18,11602.29,76059.47
DOC-00053,2025-10-15,PakTech,Lahore,30,HDP5000e Ribbon,Ribbon,50,24677.89,1233894.48,0.18,222101.01,1455995.49
DOC-00054,2025-04-09,Vision Systems,Karachi,15,PolyGuard Lamination,Accessories,3,12953.72,38861.16,0,0,47058.6
DOC-00054,2025-04-09,Vision Systems,Karachi,15,ID Card PVC Pack,Accessories,50,5358.28,267913.92,0.18,48224.51,316138.43
DOC-00054,2025-04-09,Vision Systems,Karachi,15,PolyGuard Lamination,Accessories,5,12602.21,63011.05,0.18,11341.99,74353.04
DOC-00055,2025-05-02,MF TRADER,Islamabad,45,ID Card PVC Pack,Accessories,20,4536.95,90739.08,0.18,16333.03,107072.11
DOC-00056,2025-09-16,MF TRADER,Karachi,30,HDP5000e Ribbon,Ribbon,5,22428.25,112141.25,0.18,20185.42,132326.67
DOC-00056,2025-09-16,MF TRADER,Karachi,30,ID Card PVC Pack,Accessories,5,4670.26,23351.3,0.18,4203.23,27554.54
DOC-00056,2025-09-16,MF TRADER,Karachi,30,UHF Long Range Tag,Accessories,2,188.31,376.61,0.18,67.79,444.4
DOC-00057,2025-09-15,Alpha Supplies,Karachi,30,UHF Long Range Tag,Accessories,5,204.01,1020.05,0,0,1020.05
DOC-00058,2025-06-02,Prime Traders,Islamabad,45,Printer Service Visit,Service,2,8154.18,16308.35,0,0,16308.35
DOC-00058,2025-06-02,Prime Traders,Islamabad,45,PolyGuard Lamination,Accessories,5,21292.06,106460.3,0,0,106460.3
DOC-00058,2025-06-02,Prime Traders,Islamabad,45,ID Card PVC Pack,Accessories,20,4937.96,98759.19,0.18,17776.65,116535.85
DOC-00058,2025-06-02,Prime Traders,Islamabad,45,UHF Long Range Tag,Accessories,50,190.47,9523.31,0.18,1714.2,11237.51
DOC-00059,2025-02-24,Prime Traders,Karachi,30,Printer Cleaning Kit,Accessories,3,3374.56,10123.68,0.18,1822.26,11945.94
DOC-00060,2025-09-21,PakTech,Karachi,0,Printer Cleaning Kit,Accessories,20,3631.79,72635.7,0.18,13074.43,85710.13
DOC-00060,2025-09-21,PakTech,Karachi,0,PolyGuard Lamination,Accessories,3,12300.97,36902.92,0,0,36902.92
DOC-00061,2025-09-02,Vision Systems,Lahore,30,PolyGuard Lamination,Accessories,3,12866.93,38600.79,0.18,6948.14,45548.93
DOC-00061,2025-09-02,Vision Systems,Lahore,30,Printer Service Visit,Service,20,8997.72,179954.45,0.18,32391.8,212346.25
DOC-00061,2025-09-02,Vision Systems,Lahore,30,ID Card PVC Pack,Accessories,50,5180.19,259009.46,0.18,46621.7,305631.16
DOC-00062,2025-05-21,Alpha Supplies,Lahore,15,Printer Service Visit,Service,5,7983.04,39915.18,0.18,7184.73,47099.92
DOC-00062,2025-05-21,Alpha Supplies,Lahore,15,HDP5000e Ribbon,Ribbon,10,23448.81,234488.15,0.18,42207.87,276696.01
DOC-00062,2025-05-21,Alpha Supplies,Lahore,15,Printer Service Visit,Service,3,7961.68,23885.05,0.18,4299.31,28184.36
DOC-00062,2025-05-21,Alpha Supplies,Lahore,15,Printer Cleaning Kit,Accessories,10,3519.74,35197.37,0.18,6335.53,41532.9
DOC-00063,2025-06-13,PakTech,Karachi,15,Printer Cleaning Kit,Accessories,10,3625.53,36255.32,0.18,6525.96,42781.27
DOC-00063,2025-06-13,PakTech,Karachi,15,UHF Long Range Tag,Accessories,10,213.71,2137.12,0.18,384.68,2521.81
DOC-00064,2025-08-26,Prime Traders,Lahore,30,PolyGuard Lamination,Accessories,10,11381.75,113817.51,0,0,113817.51
DOC-00064,2025-08-26,Prime Traders,Lahore,30,UHF Long Range Tag,Accessories,5,189.08,945.41,0.18,170.17,1115.58
DOC-00065,2025-09-25,Prime Traders,Lahore,15,HDP5000e Ribbon,Ribbon,50,23695.72,1184785.99,0.18,213261.48,1398047.47
DOC-00065,2025-09-25,Prime Traders,Lahore,15,PolyGuard Lamination,Accessories,20,11610.44,232208.86,0,0,232208.86
DOC-00065,2025-09-25,Prime Traders,Lahore,15,Printer Cleaning Kit,Accessories,1,3386.41,3386.41,0.18,609.55,3995.96
DOC-00065,2025-09-25,Prime Traders,Lahore,15,PolyGuard Lamination,Accessories,50,11845.26,592262.88,0.18,106607.32,698870.2
DOC-00066,2025-03-30,PakTech,Karachi,45,HDP5000e Ribbon,Ribbon,2,24247.89,48495.77,0.18,8729.24,57225.01
DOC-00066,2025-03-30,PakTech,Karachi,45,Printer Service Visit,Service,5,8350.77,41753.85,0.18,7515.69,49269.54
DOC-00066,2025-03-30,PakTech,Karachi,45,UHF Long Range Tag,Accessories,50,199.61,9980.4,0.18,1796.47,11776.87
DOC-00067,2025-01-18,Vision Systems,Islamabad,30,HDP5000e Ribbon,Ribbon,50,24461.09,1223054.66,0.18,220149.84,1443204.5
DOC-00067,2025-01-18,Vision Systems,Islamabad,30,ID Card PVC Pack,Accessories,1,5202.38,5202.38,0.18,936.43,6138.81
DOC-00067,2025-01-18,Vision Systems,Islamabad,30,Printer Cleaning Kit,Accessories,50,3713.57,185678.68,0.18,33422.16,219100.84
DOC-00067,2025-01-18,Vision Systems,Islamabad,30,Printer Cleaning Kit,Accessories,10,3762.44,37624.37,0.18,6772.39,44396.76
DOC-00068,2025-09-13,Prime Traders,Lahore,30,Printer Cleaning Kit,Accessories,3,3595.77,10787.3,0.18,1941.71,12729.01
DOC-00068,2025-09-13,Prime Traders,Lahore,30,PolyGuard Lamination,Accessories,50,11076.68,553834.18,0.18,99690.15,653524.33
DOC-00069,2025-04-20,MF TRADER,Karachi,30,PolyGuard Lamination,Accessories,2,11598.21,23196.42,0.18,4175.36,27371.78
DOC-00069,2025-04-20,MF TRADER,Karachi,30,ID Card PVC Pack,Accessories,20,4849.64,96992.71,0.18,17458.69,114451.4
DOC-00069,2025-04-20,MF TRADER,Karachi,30,Printer Service Visit,Service,3,7523.09,22569.27,0,0,22569.27
DOC-00069,2025-04-20,MF TRADER,Karachi,30,HDP5000e Ribbon,Ribbon,10,21616.22,216162.21,0.18,38909.2,255071.4
DOC-00070,2025-06-30,Prime Traders,Karachi,15,HDP5000e Ribbon,Ribbon,1,22741.2,22741.2,0,0,22741.2
DOC-00070,2025-06-30,Prime Traders,Karachi,15,ID Card PVC Pack,Accessories,5,4772.25,23861.25,0.18,4295.03,28156.28
DOC-00071,2025-01-07,Prime Traders,Lahore,15,PolyGuard Lamination,Accessories,50,11753.8,587690.19,0.18,105784.23,693474.43
DOC-00071,2025-01-07,Prime Traders,Lahore,15,PolyGuard Lamination,Accessories,2,11731.22,23462.43,0,0,23462.43
DOC-00072,2025-07-24,Alpha Supplies,Islamabad,45,Printer Service Visit,Service,50,8188.36,409418.13,0.18,73695.26,483113.39
DOC-00072,2025-07-24,Alpha Supplies,Islamabad,45,UHF Long Range Tag,Accessories,1,192.1,192.1,0.18,34.58,226.68
DOC-00073,2025-04-20,MF TRADER,Karachi,15,HDP5000e Ribbon,Ribbon,2,23087.41,46174.82,0.18,8311.47,54486.29
DOC-00073,2025-04-20,MF TRADER,Karachi,15,Printer Service Visit,Service,20,7786.22,155724.5,0.18,28030.41,183754.91
DOC-00073,2025-04-20,MF TRADER,Karachi,15,PolyGuard Lamination,Accessories,50,11221.71,561085.38,0.18,100995.37,662080.75
DOC-00073,2025-04-20,MF TRADER,Karachi,15,UHF Long Range Tag,Accessories,50,187.52,9375.91,0,0,9375.91
DOC-00074,2025-03-04,PakTech,Karachi,0,Printer Service Visit,Service,3,8317.64,24952.92,0.18,4491.53,29444.45
DOC-00074,2025-03-04,PakTech,Karachi,0,PolyGuard Lamination,Accessories,1,11525.04,11525.04,0,0,11525.04
DOC-00075,2025-01-14,Alpha Supplies,Karachi,0,Printer Service Visit,Service,1,7780.36,7780.36,0.18,1400.47,9180.83
DOC-00076,2025-10-16,Alpha Supplies,Karachi,0,HDP5000e Ribbon,Ribbon,10,24755.41,247554.05,0.18,44559.73,292113.78
DOC-00076,2025-10-16,Alpha Supplies,Karachi,0,ID Card PVC Pack,Accessories,5,5083.78,25418.91,0.18,4575.4,29994.32
DOC-00076,2025-10-16,Alpha Supplies,Karachi,0,Printer Cleaning Kit,Accessories,2,3498.57,6997.13,0,0,6997.13
DOC-00076,2025-10-16,Alpha Supplies,Karachi,0,ID Card PVC Pack,Accessories,3,4998.19,14994.56,0.18,2699.02,17693.58
DOC-00077,2025-11-11,Alpha Supplies,Lahore,0,ID Card PVC Pack,Accessories,5,4947.36,24736.79,0.18,4452.62,29189.41
DOC-00077,2025-11-11,Alpha Supplies,Lahore,0,Printer Service Visit,Service,2,8270.72,16541.45,0,0,16541.45
DOC-00078,2025-11-30,PakTech,Islamabad,30,Printer Cleaning Kit,Accessories,20,3687.99,73759.71,0,0,73759.71
DOC-00078,2025-11-30,PakTech,Islamabad,30,Printer Cleaning Kit,Accessories,5,3653.43,18267.16,0,0,18267.16
DOC-00079,2025-06-18,Vision Systems,Karachi,15,HDP5000e Ribbon,Ribbon,50,25560.68,1278033.82,0,0,1278033.82
DOC-00080,2025-10-26,MF TRADER,Karachi,0,Printer Service Visit,Service,5,7870.8,39354.01,0.18,7083.72,46437.73
DOC-00080,2025-10-26,MF TRADER,Karachi,0,Printer Cleaning Kit,Accessories,10,3334.88,33348.79,0.18,6002.78,39351.57
DOC-00080,2025-10-26,MF TRADER,Karachi,0,PolyGuard Lamination,Accessories,5,11576.57,57882.87,0.18,10418.92,68301.79
DOC-00081,2025-08-14,Prime Traders,Islamabad,15,Printer Cleaning Kit,Accessories,50,3325.55,166277.48,0.18,29929.95,196207.42
DOC-00081,2025-08-14,Prime Traders,Islamabad,15,PolyGuard Lamination,Accessories,50,12160.8,608039.9,0.18,109447.18,717487.08
DOC-00082,2025-02-24,Alpha Supplies,Lahore,45,Printer Service Visit,Service,3,8152.49,24457.47,0.18,4402.34,28859.81
DOC-00083,2025-03-20,Prime Traders,Karachi,45,UHF Long Range Tag,Accessories,3,196.49,589.48,0,0,589.48
DOC-00084,2025-08-29,Vision Systems,Islamabad,30,UHF Long Range Tag,Accessories,20,213.62,4272.46,0.18,769.04,5041.51
DOC-00084,2025-08-29,Vision Systems,Islamabad,30,Printer Cleaning Kit,Accessories,2,3732.57,7465.14,0.18,1343.73,8808.87
DOC-00085,2025-02-15,MF TRADER,Karachi,45,HDP5000e Ribbon,Ribbon,50,22764.98,1138249.06,0,0,1138249.06
DOC-00085,2025-02-15,MF TRADER,Karachi,45,Printer Service Visit,Service,50,7803.88,390194.03,0,0,390194.03
DOC-00085,2025-02-15,MF TRADER,Karachi,45,Printer Service Visit,Service,50,14655.12,732756,0.18,131896.08,864652.08
DOC-00086,2025-03-02,Vision Systems,Karachi,15,HDP5000e Ribbon,Ribbon,5,35687.6,178438,0.18,32118.84,210556.84
DOC-00086,2025-03-02,Vision Systems,Karachi,15,Printer Service Visit,Service,50,8448.79,422439.45,0.18,76039.1,498478.55
DOC-00086,2025-03-02,Vision Systems,Karachi,15,PolyGuard Lamination,Accessories,2,13111.46,26222.92,0.18,4720.13,30943.04
DOC-00087,2025-03-26,Vision Systems,Lahore,0,Printer Service Visit,Service,3,8576.49,25729.47,0.18,4631.3,30360.77
DOC-00087,2025-03-26,Vision Systems,Lahore,0,UHF Long Range Tag,Accessories,5,211.16,1055.8,0.18,190.04,1245.84
DOC-00087,2025-03-26,Vision Systems,Lahore,0,HDP5000e Ribbon,Ribbon,3,25605.79,76817.37,0,0,76817.37
